alpha,ndcg,hr,precision,recall,LIR
0.0000,0.1217,0.2128,0.0287,0.0147,0.0038
0.0500,0.1217,0.2128,0.0287,0.0147,0.0067
0.1000,0.1216,0.2125,0.0287,0.0147,0.0071
0.1500,0.1216,0.2125,0.0287,0.0147,0.0073
0.2000,0.1216,0.2124,0.0287,0.0147,0.0074
0.2500,0.1216,0.2124,0.0287,0.0147,0.0075
0.3000,0.1216,0.2124,0.0287,0.0147,0.0075
0.3500,0.1216,0.2124,0.0287,0.0147,0.0075
0.4000,0.1216,0.2124,0.0287,0.0147,0.0076
0.4500,0.1216,0.2124,0.0287,0.0147,0.0076
0.5000,0.1216,0.2124,0.0287,0.0147,0.0076
0.5500,0.1216,0.2124,0.0287,0.0147,0.0076
0.6000,0.1216,0.2124,0.0287,0.0147,0.0076
0.6500,0.1216,0.2124,0.0287,0.0147,0.0076
0.7000,0.1216,0.2124,0.0287,0.0147,0.0076
0.7500,0.1216,0.2124,0.0287,0.0147,0.0076
0.8000,0.1216,0.2124,0.0287,0.0147,0.0076
0.8500,0.1216,0.2124,0.0287,0.0147,0.0076
0.9000,0.1216,0.2124,0.0287,0.0147,0.0076
0.9500,0.1216,0.2124,0.0287,0.0147,0.0076
1.0000,0.1192,0.1970,0.0264,0.0134,0.0076
