alpha,ndcg,hr,precision,recall,SEP
0.0000,0.1217,0.2128,0.0287,0.0147,0.5008
0.0500,0.1222,0.2144,0.0290,0.0149,0.6226
0.1000,0.1231,0.2173,0.0293,0.0151,0.6439
0.1500,0.1234,0.2178,0.0294,0.0151,0.6624
0.2000,0.1232,0.2165,0.0292,0.0150,0.6784
0.2500,0.1231,0.2156,0.0292,0.0153,0.6925
0.3000,0.1219,0.2124,0.0287,0.0149,0.7044
0.3500,0.1222,0.2108,0.0284,0.0148,0.7139
0.4000,0.1220,0.2098,0.0281,0.0147,0.7210
0.4500,0.1231,0.2097,0.0279,0.0146,0.7261
0.5000,0.1219,0.2060,0.0274,0.0144,0.7303
0.5500,0.1216,0.2041,0.0271,0.0141,0.7335
0.6000,0.1208,0.2025,0.0268,0.0139,0.7357
0.6500,0.1202,0.2009,0.0265,0.0137,0.7375
0.7000,0.1193,0.1989,0.0261,0.0135,0.7388
0.7500,0.1187,0.1970,0.0258,0.0133,0.7397
0.8000,0.1183,0.1956,0.0257,0.0133,0.7403
0.8500,0.1181,0.1949,0.0255,0.0132,0.7408
0.9000,0.1169,0.1928,0.0253,0.0131,0.7410
0.9500,0.1167,0.1921,0.0252,0.0131,0.7411
1.0000,0.1155,0.1900,0.0249,0.0130,0.7412
