model,alpha,precision,LIR
TPRec,0.0000,0.0348,0.0056
TPRec,0.0500,0.0348,0.0105
TPRec,0.1000,0.0348,0.0107
TPRec,0.1500,0.0347,0.0107
TPRec,0.2000,0.0347,0.0108
TPRec,0.2500,0.0347,0.0109
TPRec,0.3000,0.0347,0.0110
TPRec,0.3500,0.0347,0.0110
TPRec,0.4000,0.0347,0.0110
TPRec,0.4500,0.0347,0.0110
TPRec,0.5000,0.0347,0.0110
TPRec,0.5500,0.0347,0.0110
TPRec,0.6000,0.0347,0.0110
TPRec,0.6500,0.0347,0.0110
TPRec,0.7000,0.0347,0.0110
TPRec,0.7500,0.0347,0.0110
TPRec,0.8000,0.0347,0.0110
TPRec,0.8500,0.0347,0.0110
TPRec,0.9000,0.0347,0.0110
TPRec,0.9500,0.0347,0.0110
TPRec,1.0000,0.0219,0.0111
KGGLM,0.0000,0.0164,0.0007
KGGLM,0.0500,0.0164,0.0007
KGGLM,0.1000,0.0164,0.0008
KGGLM,0.1500,0.0164,0.0008
KGGLM,0.2000,0.0164,0.0009
KGGLM,0.2500,0.0164,0.0009
KGGLM,0.3000,0.0164,0.0009
KGGLM,0.3500,0.0164,0.0009
KGGLM,0.4000,0.0164,0.0009
KGGLM,0.4500,0.0164,0.0009
KGGLM,0.5000,0.0164,0.0009
KGGLM,0.5500,0.0164,0.0009
KGGLM,0.6000,0.0164,0.0009
KGGLM,0.6500,0.0164,0.0009
KGGLM,0.7000,0.0164,0.0009
KGGLM,0.7500,0.0164,0.0009
KGGLM,0.8000,0.0164,0.0009
KGGLM,0.8500,0.0164,0.0009
KGGLM,0.9000,0.0164,0.0009
KGGLM,0.9500,0.0164,0.0009
KGGLM,1.0000,0.0164,0.0009
PEARLM,0.0000,0.0127,0.0011
PEARLM,0.0500,0.0127,0.0012
PEARLM,0.1000,0.0128,0.0013
PEARLM,0.1500,0.0128,0.0013
PEARLM,0.2000,0.0128,0.0013
PEARLM,0.2500,0.0128,0.0014
PEARLM,0.3000,0.0128,0.0014
PEARLM,0.3500,0.0128,0.0014
PEARLM,0.4000,0.0128,0.0014
PEARLM,0.4500,0.0128,0.0014
PEARLM,0.5000,0.0128,0.0014
PEARLM,0.5500,0.0128,0.0014
PEARLM,0.6000,0.0128,0.0014
PEARLM,0.6500,0.0128,0.0014
PEARLM,0.7000,0.0128,0.0014
PEARLM,0.7500,0.0128,0.0014
PEARLM,0.8000,0.0128,0.0014
PEARLM,0.8500,0.0128,0.0014
PEARLM,0.9000,0.0128,0.0014
PEARLM,0.9500,0.0128,0.0014
PEARLM,1.0000,0.0128,0.0014
