model,alpha,recall,SEP
PGPR,0.0000,0.0423,0.4798
PGPR,0.0500,0.0417,0.7814
PGPR,0.1000,0.0409,0.8379
PGPR,0.1500,0.0400,0.8768
PGPR,0.2000,0.0393,0.9013
PGPR,0.2500,0.0386,0.9173
PGPR,0.3000,0.0379,0.9290
PGPR,0.3500,0.0371,0.9380
PGPR,0.4000,0.0363,0.9450
PGPR,0.4500,0.0356,0.9508
PGPR,0.5000,0.0347,0.9560
PGPR,0.5500,0.0345,0.9604
PGPR,0.6000,0.0336,0.9644
PGPR,0.6500,0.0324,0.9679
PGPR,0.7000,0.0310,0.9712
PGPR,0.7500,0.0295,0.9742
PGPR,0.8000,0.0282,0.9768
PGPR,0.8500,0.0260,0.9791
PGPR,0.9000,0.0234,0.9813
PGPR,0.9500,0.0208,0.9828
PGPR,1.0000,0.0180,0.9833
UCPR,0.0000,0.0379,0.4935
UCPR,0.0500,0.0380,0.6748
UCPR,0.1000,0.0379,0.6891
UCPR,0.1500,0.0377,0.7012
UCPR,0.2000,0.0375,0.7111
UCPR,0.2500,0.0376,0.7187
UCPR,0.3000,0.0371,0.7244
UCPR,0.3500,0.0368,0.7286
UCPR,0.4000,0.0364,0.7317
UCPR,0.4500,0.0362,0.7339
UCPR,0.5000,0.0359,0.7358
UCPR,0.5500,0.0356,0.7370
UCPR,0.6000,0.0351,0.7380
UCPR,0.6500,0.0350,0.7389
UCPR,0.7000,0.0348,0.7395
UCPR,0.7500,0.0346,0.7399
UCPR,0.8000,0.0343,0.7402
UCPR,0.8500,0.0344,0.7404
UCPR,0.9000,0.0342,0.7405
UCPR,0.9500,0.0341,0.7406
UCPR,1.0000,0.0340,0.7406
CAFE,0.0000,0.0520,0.4619
CAFE,0.0500,0.0486,0.7011
CAFE,0.1000,0.0446,0.8111
CAFE,0.1500,0.0395,0.8748
CAFE,0.2000,0.0345,0.9132
CAFE,0.2500,0.0298,0.9366
CAFE,0.3000,0.0277,0.9494
CAFE,0.3500,0.0264,0.9571
CAFE,0.4000,0.0249,0.9621
CAFE,0.4500,0.0237,0.9656
CAFE,0.5000,0.0231,0.9681
CAFE,0.5500,0.0221,0.9703
CAFE,0.6000,0.0211,0.9721
CAFE,0.6500,0.0203,0.9735
CAFE,0.7000,0.0195,0.9748
CAFE,0.7500,0.0188,0.9759
CAFE,0.8000,0.0180,0.9769
CAFE,0.8500,0.0171,0.9779
CAFE,0.9000,0.0158,0.9786
CAFE,0.9500,0.0150,0.9790
CAFE,1.0000,0.0142,0.9791
TPRec,0.0000,0.0438,0.4948
TPRec,0.0500,0.0440,0.7798
TPRec,0.1000,0.0437,0.8302
TPRec,0.1500,0.0435,0.8647
TPRec,0.2000,0.0435,0.8885
TPRec,0.2500,0.0430,0.9054
TPRec,0.3000,0.0421,0.9183
TPRec,0.3500,0.0413,0.9284
TPRec,0.4000,0.0407,0.9361
TPRec,0.4500,0.0394,0.9426
TPRec,0.5000,0.0385,0.9483
TPRec,0.5500,0.0375,0.9526
TPRec,0.6000,0.0366,0.9564
TPRec,0.6500,0.0352,0.9596
TPRec,0.7000,0.0338,0.9623
TPRec,0.7500,0.0322,0.9648
TPRec,0.8000,0.0302,0.9667
TPRec,0.8500,0.0286,0.9683
TPRec,0.9000,0.0272,0.9695
TPRec,0.9500,0.0257,0.9702
TPRec,1.0000,0.0241,0.9704
KGGLM,0.0000,0.0105,0.4791
KGGLM,0.0500,0.0105,0.4791
KGGLM,0.1000,0.0105,0.4791
KGGLM,0.1500,0.0105,0.4791
KGGLM,0.2000,0.0105,0.4791
KGGLM,0.2500,0.0105,0.4791
KGGLM,0.3000,0.0105,0.4791
KGGLM,0.3500,0.0105,0.4791
KGGLM,0.4000,0.0105,0.4791
KGGLM,0.4500,0.0105,0.4791
KGGLM,0.5000,0.0105,0.4791
KGGLM,0.5500,0.0105,0.4791
KGGLM,0.6000,0.0105,0.4791
KGGLM,0.6500,0.0105,0.4791
KGGLM,0.7000,0.0105,0.4791
KGGLM,0.7500,0.0105,0.4791
KGGLM,0.8000,0.0105,0.4791
KGGLM,0.8500,0.0105,0.4791
KGGLM,0.9000,0.0105,0.4791
KGGLM,0.9500,0.0105,0.4791
KGGLM,1.0000,0.0105,0.4791
PEARLM,0.0000,0.0110,0.5094
PEARLM,0.0500,0.0111,0.5233
PEARLM,0.1000,0.0111,0.5247
PEARLM,0.1500,0.0110,0.5252
PEARLM,0.2000,0.0110,0.5256
PEARLM,0.2500,0.0110,0.5259
PEARLM,0.3000,0.0110,0.5260
PEARLM,0.3500,0.0110,0.5262
PEARLM,0.4000,0.0110,0.5263
PEARLM,0.4500,0.0110,0.5264
PEARLM,0.5000,0.0110,0.5264
PEARLM,0.5500,0.0110,0.5265
PEARLM,0.6000,0.0110,0.5265
PEARLM,0.6500,0.0110,0.5266
PEARLM,0.7000,0.0110,0.5266
PEARLM,0.7500,0.0110,0.5266
PEARLM,0.8000,0.0111,0.5266
PEARLM,0.8500,0.0111,0.5266
PEARLM,0.9000,0.0111,0.5266
PEARLM,0.9500,0.0111,0.5266
PEARLM,1.0000,0.0111,0.5266
