dataset,model,role,optimized_metric,alpha,exact_topk_users,topk_users,exact_topk_pct,exact_explanation_pairs,explanation_pairs,exact_explanation_pct,max_metric_abs_delta_vs_original,status
LastFM,PGPR,main,LIR,0.0,14620,14620,100.0,145390,145390,100.0,0.0,PASS
LastFM,PGPR,main,SEP,0.0,14620,14620,100.0,145390,145390,100.0,0.0,PASS
LastFM,PGPR,main,ETD,0.0,14620,14620,100.0,145390,145390,100.0,0.0,PASS
LastFM,UCPR,auxiliary,LIR,0.0,14620,14620,100.0,140318,140318,100.0,0.0,PASS
LastFM,UCPR,auxiliary,SEP,0.0,14620,14620,100.0,140318,140318,100.0,0.0,PASS
LastFM,UCPR,auxiliary,ETD,0.0,14620,14620,100.0,140318,140318,100.0,0.0,PASS
ML-1M,PGPR,main,LIR,0.0,6040,6040,100.0,60400,60400,100.0,0.0,PASS
ML-1M,PGPR,main,SEP,0.0,6040,6040,100.0,60400,60400,100.0,0.0,PASS
ML-1M,PGPR,main,ETD,0.0,6040,6040,100.0,60400,60400,100.0,0.0,PASS
ML-1M,UCPR,auxiliary,LIR,0.0,6040,6040,100.0,50022,50022,100.0,0.0,PASS
ML-1M,UCPR,auxiliary,SEP,0.0,6040,6040,100.0,50022,50022,100.0,0.0,PASS
ML-1M,UCPR,auxiliary,ETD,0.0,6040,6040,100.0,50022,50022,100.0,0.0,PASS
