dataset,model,stage,users,hr_at_10,ndcg_at_10,precision_at_10,recall_at_10,export_validation,export_evidence,alpha_sweep_figures,primary_evidence,blocker_or_note
LastFM,PGPR,Complete + figures,14620,0.186389,0.030905,0.025356,0.017731,PASS,reports/tables/canonical_export_validation/lastfm_pgpr.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/pgpr_lastfm_accuracy.json,
LastFM,UCPR,Complete + figures,14620,0.216416,0.037377,0.031129,0.023155,PASS,reports/tables/canonical_export_validation/lastfm_ucpr.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/ucpr_lastfm_accuracy.json,
LastFM,CAFE,Complete + figures,14620,0.180233,0.030214,0.025718,0.018639,PASS,reports/tables/canonical_export_validation/lastfm_cafe.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/cafe_lastfm_accuracy.json,
LastFM,TPRec,Complete + figures,14620,0.188919,0.038981,0.032736,0.022307,PASS,reports/tables/canonical_export_validation/lastfm_tprec.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/tprec_formal/canonical_lastfm_v1/accuracy.json,
LastFM,KGGLM,Complete + figures,14620,0.125855,0.021319,0.016409,0.014191,PASS,reports/tables/canonical_export_validation/lastfm_kgglm.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/kgglm_formal/canonical_lastfm_v1/accuracy.json,
LastFM,PEARLM,Complete + figures,14620,0.099590,0.015960,0.012736,0.009047,PASS,reports/tables/canonical_export_validation/lastfm_pearlm.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/pearlm_formal_bestval10/canonical_lastfm_v1/accuracy.json,
ML-1M,PGPR,Complete + figures,6040,0.511258,0.101896,0.092914,0.042342,PASS,reports/tables/canonical_export_validation/ml1m_pgpr.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/pgpr_ml1m_accuracy.json,
ML-1M,UCPR,Complete + figures,6040,0.441887,0.086215,0.066391,0.037913,PASS,reports/tables/canonical_export_validation/ml1m_ucpr.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/ucpr_ml1m_accuracy.json,
ML-1M,CAFE,Complete + figures,6040,0.554305,0.116655,0.107119,0.052024,PASS,reports/tables/canonical_export_validation/ml1m_cafe.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/cafe_ml1m_accuracy.json,
ML-1M,TPRec,Complete + figures,6040,0.474503,0.094220,0.089702,0.043772,PASS,reports/tables/canonical_export_validation/ml1m_tprec.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/tprec_formal/canonical_ml1m_v1/accuracy.json,
ML-1M,KGGLM,Complete + figures,6040,0.168874,0.033649,0.019305,0.010506,PASS,reports/tables/canonical_export_validation/ml1m_kgglm.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/kgglm_formal/canonical_ml1m_v1/accuracy.json,
ML-1M,PEARLM,Complete + figures,6040,0.214735,0.035303,0.027119,0.011040,PASS,reports/tables/canonical_export_validation/ml1m_pearlm.json,Complete,runs/debug_compare/2026-06-20_native_path_expansion/pearlm_formal_bestval10/canonical_ml1m_v1/accuracy.json,
Amazon-Book KGAT,KGGLM,Complete,70591,0.012665,0.003022,0.001383,0.004747,PASS,reports/tables/canonical_export_validation/amazon_book_kgat_v1_kgglm.json,N/A,runs/debug_compare/2026-06-20_native_path_expansion/kgglm_formal/canonical_amazon_book_kgat_v1/accuracy.json,Amazon alpha-sweep N/A until approved timestamp/SEP/ETD denominator exists
Amazon-Book KGAT,PEARLM,Complete,70591,0.029338,0.010716,0.003100,0.015404,PASS,reports/tables/canonical_export_validation/amazon_book_kgat_v1_pearlm.json,N/A,runs/debug_compare/2026-06-20_native_path_expansion/pearlm_formal_bestval10/canonical_amazon_book_kgat_v1/accuracy.json,Amazon alpha-sweep N/A until approved timestamp/SEP/ETD denominator exists
Amazon-Book KGAT,PGPR,Blocked,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Amazon PGPR data/preprocess/TransE/policy/export smokes are PASS; formal-v1 pipeline status=RUNNING, stage=transe, beam=10-12-1; strict full-user export/accuracy still pending"
Amazon-Book KGAT,UCPR,Blocked,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Amazon UCPR data view, adapter aliases, runtime schema patch, and preprocess/TransE-forward smokes are PASS; formal training/export/accuracy are pending"
Amazon-Book KGAT,CAFE,Blocked,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Needs Amazon schema/data-builder port and compatible UCPR view/TransE checkpoint
Amazon-Book KGAT,TPRec,Blocked,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Amazon TPRec structural path constraints/runtime entrypoints are wired; formal temporal TPRec remains blocked because canonical timestamps are sentinel -1
