protocol,model,family,objective,rec_metric,retention_threshold,base_rec,base_explainability,best_alpha,best_rec,best_explainability,gain
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,ETD,ndcg,0.99,0.3211,0.2902,0.0,0.3211,0.2902,0.0
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,ETD,ndcg,0.95,0.3211,0.2902,0.05,0.316,0.5971,0.30689999999999995
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,ETD,ndcg,0.9,0.3211,0.2902,0.35,0.2958,0.8542,0.564
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,LIR,ndcg,0.99,0.3229,0.3949,0.0,0.3229,0.3949,0.0
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,LIR,ndcg,0.95,0.3229,0.3949,0.05,0.3194,0.4897,0.09480000000000005
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,LIR,ndcg,0.9,0.3229,0.3949,0.15,0.2944,0.6447,0.24980000000000008
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,SEP,ndcg,0.99,0.3229,0.4619,0.05,0.3199,0.7011,0.23919999999999997
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,SEP,ndcg,0.95,0.3229,0.4619,0.05,0.3199,0.7011,0.23919999999999997
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,SEP,ndcg,0.9,0.3229,0.4619,0.1,0.3046,0.8111,0.34920000000000007
legacy_four_model,PGPR,RL path search,ETD,ndcg,0.99,0.2965,0.1611,0.15,0.2936,0.3523,0.1912
legacy_four_model,PGPR,RL path search,ETD,ndcg,0.95,0.2965,0.1611,0.4,0.2819,0.5023,0.34119999999999995
legacy_four_model,PGPR,RL path search,ETD,ndcg,0.9,0.2965,0.1611,0.7,0.2813,0.5191,0.358
legacy_four_model,PGPR,RL path search,LIR,ndcg,0.99,0.2968,0.4655,0.4,0.2965,0.9425,0.477
legacy_four_model,PGPR,RL path search,LIR,ndcg,0.95,0.2968,0.4655,0.85,0.2829,0.9622,0.49670000000000003
legacy_four_model,PGPR,RL path search,LIR,ndcg,0.9,0.2968,0.4655,0.95,0.2782,0.9626,0.4971
legacy_four_model,PGPR,RL path search,SEP,ndcg,0.99,0.2968,0.4798,0.05,0.2948,0.7814,0.3016
legacy_four_model,PGPR,RL path search,SEP,ndcg,0.95,0.2968,0.4798,0.4,0.2847,0.945,0.46519999999999995
legacy_four_model,PGPR,RL path search,SEP,ndcg,0.9,0.2968,0.4798,0.75,0.2672,0.9742,0.49439999999999995
legacy_four_model,TPRec,Time-aware RL path search,ETD,ndcg,0.99,0.2667,0.2874,0.3,0.2644,0.7128,0.4254
legacy_four_model,TPRec,Time-aware RL path search,ETD,ndcg,0.95,0.2667,0.2874,0.65,0.2637,0.7301,0.4427
legacy_four_model,TPRec,Time-aware RL path search,ETD,ndcg,0.9,0.2667,0.2874,0.65,0.2637,0.7301,0.4427
legacy_four_model,TPRec,Time-aware RL path search,LIR,ndcg,0.99,0.2631,0.4502,1.0,0.2693,0.9451,0.49490000000000006
legacy_four_model,TPRec,Time-aware RL path search,LIR,ndcg,0.95,0.2631,0.4502,1.0,0.2693,0.9451,0.49490000000000006
legacy_four_model,TPRec,Time-aware RL path search,LIR,ndcg,0.9,0.2631,0.4502,1.0,0.2693,0.9451,0.49490000000000006
legacy_four_model,TPRec,Time-aware RL path search,SEP,ndcg,0.99,0.2631,0.4948,0.9,0.2623,0.9695,0.4747
legacy_four_model,TPRec,Time-aware RL path search,SEP,ndcg,0.95,0.2631,0.4948,1.0,0.2535,0.9704,0.4756
legacy_four_model,TPRec,Time-aware RL path search,SEP,ndcg,0.9,0.2631,0.4948,1.0,0.2535,0.9704,0.4756
legacy_four_model,UCPR,User-centric RL path search,ETD,ndcg,0.99,0.2518,0.2088,0.3,0.2493,0.25,0.04119999999999999
legacy_four_model,UCPR,User-centric RL path search,ETD,ndcg,0.95,0.2518,0.2088,0.65,0.2486,0.2555,0.04669999999999999
legacy_four_model,UCPR,User-centric RL path search,ETD,ndcg,0.9,0.2518,0.2088,0.65,0.2486,0.2555,0.04669999999999999
legacy_four_model,UCPR,User-centric RL path search,LIR,ndcg,0.99,0.252,0.4568,0.2,0.2495,0.7075,0.25070000000000003
legacy_four_model,UCPR,User-centric RL path search,LIR,ndcg,0.95,0.252,0.4568,0.95,0.2414,0.7342,0.2774
legacy_four_model,UCPR,User-centric RL path search,LIR,ndcg,0.9,0.252,0.4568,0.95,0.2414,0.7342,0.2774
legacy_four_model,UCPR,User-centric RL path search,SEP,ndcg,0.99,0.252,0.4935,0.25,0.2525,0.7187,0.2252
legacy_four_model,UCPR,User-centric RL path search,SEP,ndcg,0.95,0.252,0.4935,0.75,0.2399,0.7399,0.2464
legacy_four_model,UCPR,User-centric RL path search,SEP,ndcg,0.9,0.252,0.4935,0.95,0.2383,0.7406,0.24710000000000004
