protocol,model,family,objective,rec_metric,alpha0_rec,alpha1_rec,delta_rec,relative_rec_change,alpha0_explainability,alpha1_explainability,delta_explainability,relative_explainability_change,best_rec_alpha,best_rec_value,best_exp_alpha,best_exp_value,explanation_monotonic_increases,rec_monotonic_nonincreasing
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,ETD,ndcg,0.3211,0.2958,-0.02529999999999999,-0.07879165369043906,0.2902,0.8542,0.564,1.9434872501722946,0.0,0.3211,0.35,0.8542,1,0
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,LIR,ndcg,0.3229,0.1834,-0.1395,-0.4320222979250542,0.3949,0.6986,0.3037,0.7690554570777413,0.0,0.3229,0.9,0.6986,1,0
legacy_four_model,CAFE,Coarse-to-fine neural-symbolic,SEP,ndcg,0.3229,0.1659,-0.15700000000000003,-0.48621864354289257,0.4619,0.9791,0.5172,1.1197228837410695,0.0,0.3229,1.0,0.9791,1,1
legacy_four_model,PGPR,RL path search,ETD,ndcg,0.2965,0.2813,-0.015199999999999991,-0.05126475548060705,0.1611,0.5191,0.358,2.2222222222222223,0.05,0.2983,0.7,0.5191,1,0
legacy_four_model,PGPR,RL path search,LIR,ndcg,0.2968,0.2284,-0.06840000000000002,-0.23045822102425884,0.4655,0.9627,0.4972,1.0680988184747582,0.15,0.3001,1.0,0.9627,1,0
legacy_four_model,PGPR,RL path search,SEP,ndcg,0.2968,0.2199,-0.0769,-0.25909703504043125,0.4798,0.9833,0.5035,1.0493955814922882,0.0,0.2968,1.0,0.9833,1,0
legacy_four_model,TPRec,Time-aware RL path search,ETD,ndcg,0.2667,0.2637,-0.0030000000000000027,-0.011248593925759276,0.2874,0.7301,0.4427,1.5403618649965205,0.1,0.2686,0.65,0.7301,1,0
legacy_four_model,TPRec,Time-aware RL path search,LIR,ndcg,0.2631,0.2693,0.006199999999999983,0.02356518434055488,0.4502,0.9451,0.49490000000000006,1.0992892047978677,0.6,0.2853,1.0,0.9451,1,0
legacy_four_model,TPRec,Time-aware RL path search,SEP,ndcg,0.2631,0.2535,-0.009599999999999997,-0.036488027366020526,0.4948,0.9704,0.4756,0.9611964430072757,0.4,0.2762,1.0,0.9704,1,0
legacy_four_model,UCPR,User-centric RL path search,ETD,ndcg,0.2518,0.2486,-0.003200000000000036,-0.012708498808578383,0.2088,0.2555,0.04669999999999999,0.22365900383141768,0.0,0.2518,0.65,0.2555,1,0
legacy_four_model,UCPR,User-centric RL path search,LIR,ndcg,0.252,0.2405,-0.01150000000000001,-0.045634920634920695,0.4568,0.7342,0.2774,0.6072679509632224,0.0,0.252,0.95,0.7342,1,0
legacy_four_model,UCPR,User-centric RL path search,SEP,ndcg,0.252,0.2385,-0.013500000000000012,-0.0535714285714286,0.4935,0.7406,0.24710000000000004,0.5007092198581562,0.25,0.2525,0.95,0.7406,1,0
