model,alpha,ndcg,hr,SEP
VRKG4Rec_ep29,0.0000,0.1608,0.2513,0.9251
VRKG4Rec_ep29,0.0500,0.1610,0.2513,0.9313
VRKG4Rec_ep29,0.1000,0.1608,0.2513,0.9348
VRKG4Rec_ep29,0.1500,0.1606,0.2513,0.9362
VRKG4Rec_ep29,0.2000,0.1607,0.2513,0.9365
VRKG4Rec_ep29,0.2500,0.1604,0.2513,0.9369
VRKG4Rec_ep29,0.3000,0.1603,0.2513,0.9371
VRKG4Rec_ep29,0.3500,0.1602,0.2513,0.9373
VRKG4Rec_ep29,0.4000,0.1604,0.2513,0.9377
VRKG4Rec_ep29,0.4500,0.1603,0.2513,0.9387
VRKG4Rec_ep29,0.5000,0.1598,0.2513,0.9400
VRKG4Rec_ep29,0.5500,0.1599,0.2513,0.9405
VRKG4Rec_ep29,0.6000,0.1598,0.2513,0.9408
VRKG4Rec_ep29,0.6500,0.1597,0.2513,0.9415
VRKG4Rec_ep29,0.7000,0.1596,0.2513,0.9422
VRKG4Rec_ep29,0.7500,0.1596,0.2513,0.9424
VRKG4Rec_ep29,0.8000,0.1597,0.2513,0.9425
VRKG4Rec_ep29,0.8500,0.1596,0.2513,0.9427
VRKG4Rec_ep29,0.9000,0.1595,0.2513,0.9430
VRKG4Rec_ep29,0.9500,0.1594,0.2513,0.9433
VRKG4Rec_ep29,1.0000,0.1591,0.2513,0.9434
PGPR,0.0000,0.1215,0.1980,0.7375
PGPR,0.0500,0.1202,0.1940,0.8437
PGPR,0.1000,0.1192,0.1909,0.8644
PGPR,0.1500,0.1173,0.1848,0.8835
PGPR,0.2000,0.1154,0.1799,0.9013
PGPR,0.2500,0.1129,0.1745,0.9172
PGPR,0.3000,0.1086,0.1673,0.9303
PGPR,0.3500,0.1044,0.1607,0.9412
PGPR,0.4000,0.1012,0.1545,0.9500
PGPR,0.4500,0.0979,0.1481,0.9573
PGPR,0.5000,0.0948,0.1430,0.9634
PGPR,0.5500,0.0919,0.1377,0.9689
PGPR,0.6000,0.0888,0.1326,0.9739
PGPR,0.6500,0.0849,0.1263,0.9785
PGPR,0.7000,0.0798,0.1188,0.9826
PGPR,0.7500,0.0751,0.1114,0.9859
PGPR,0.8000,0.0696,0.1022,0.9885
PGPR,0.8500,0.0658,0.0955,0.9909
PGPR,0.9000,0.0629,0.0893,0.9930
PGPR,0.9500,0.0540,0.0735,0.9951
PGPR,1.0000,0.0377,0.0503,0.9961
